Value,Range,Percentage,Min,Max
818.38,-9.22,(-1.11%),-9.22,-9.22
817.59,-10.01,(-1.21%),-10.01,-9.22
818.06,-9.54,(-1.15%),-10.01,-9.22
818.05,-9.55,(-1.15%),-10.01,-9.22
817.26,-10.34,(-1.25%),-10.34,-9.22
817.28,-10.32,(-1.25%),-10.34,-9.22
817.27,-10.20,(-1.23%),-10.34,-9.22
817.84,-9.76,(-1.18%),-10.34,-9.22
817.83,-9.77,(-1.18%),-10.34,-9.22
817.41,-10.19,(-1.23%),-10.34,-9.22
817.39,-10.21,(-1.23%),-10.34,-9.22
817.79,-9.81,(-1.19%),-10.34,-9.22
817.87,-9.73,(-1.18%),-10.34,-9.22
817.75,-9.85,(-1.19%),-10.34,-9.22
818.66,-8.94,(-1.08%),-10.34,-8.94
818.47,-9.13,(-1.10%),-10.34,-8.94
818.76,-8.84,(-1.07%),-10.34,-8.84
818.55,-9.05,(-1.09%),-10.34,-8.84
819.40,-8.20,(-0.99%),-10.34,-8.2
819.77,-7.83,(-0.95%),-10.34,-7.83
819.79,-7.81,(-0.94%),-10.34,-7.81
819.54,-8.06,(-0.97%),-10.34,-7.81
819.78,-7.82,(-0.94%),-10.34,-7.81
819.41,-8.19,(-0.99%),-10.34,-7.81
819.45,-8.15,(-0.98%),-10.34,-7.81
819.76,-7.84,(-0.95%),-10.34,-7.81
819.76,-7.84,(-0.95%),-10.34,-7.81
819.49,-8.11,(-0.98%),-10.34,-7.81
819.52,-8.08,(-0.98%),-10.34,-7.81
819.61,-7.99,(-0.97%),-10.34,-7.81
819.51,-8.09,(-0.98%),-10.34,-7.81
820.27,-7.33,(-0.89%),-10.34,-7.33
820.27,-7.33,(-0.89%),-10.34,-7.33
819.96,-7.64,(-0.92%),-10.34,-7.33
820.09,-7.51,(-0.91%),-10.34,-7.33
819.95,-7.65,(-0.92%),-10.34,-7.33
820.11,-7.49,(-0.91%),-10.34,-7.33
820.27,-7.33,(-0.89%),-10.34,-7.33
820.51,-7.09,(-0.86%),-10.34,-7.09
820.84,-6.76,(-0.82%),-10.34,-6.76
820.84,-6.76,(-0.82%),-10.34,-6.76
821.66,-5.94,(-0.72%),-10.34,-5.94
821.48,-6.12,(-0.74%),-10.34,-5.94
822.08,-5.52,(-0.67%),-10.34,-5.52
822.33,-5.27,(-0.64%),-10.34,-5.27
822.34,-5.26,(-0.64%),-10.34,-5.26
822.27,-5.33,(-0.64%),-10.34,-5.26
821.54,-6.06,(-0.73%),-10.34,-5.26
822.37,-5.23,(-0.63%),-10.34,-5.23
822.64,-4.96,(-0.60%),-10.34,-4.96
822.49,-5.11,(-0.62%),-10.34,-4.96
822.50,-5.10,(-0.62%),-10.34,-4.96
822.60,-5.00,(-0.60%),-10.34,-4.96
822.64,-4.96,(-0.60%),-10.34,-4.96
823.29,-4.31,(-0.52%),-10.34,-4.31
822.94,-4.66,(-0.56%),-10.34,-4.31
823.28,-4.32,(-0.52%),-10.34,-4.31
823.27,-4.33,(-0.52%),-10.34,-4.31
823.63,-3.97,(-0.48%),-10.34,-3.97
823.78,-3.82,(-0.46%),-10.34,-3.82
823.83,-3.77,(-0.46%),-10.34,-3.77
823.27,-4.33,(-0.52%),-10.34,-3.77
823.56,-4.04,(-0.49%),-10.34,-3.77
822.64,-4.96,(-0.60%),-10.34,-3.77
822.64,-4.96,(-0.60%),-10.34,-3.77
820.83,-6.77,(-0.82%),-10.34,-3.77
821.86,-5.74,(-0.69%),-10.34,-3.77
821.81,-5.79,(-0.70%),-10.34,-3.77
821.47,-6.13,(-0.74%),-10.34,-3.77
821.82,-5.78,(-0.70%),-10.34,-3.77
821.11,-6.49,(-0.78%),-10.34,-3.77
821.15,-6.45,(-0.78%),-10.34,-3.77
821.27,-6.33,(-0.76%),-10.34,-3.77
821.28,-6.32,(-0.76%),-10.34,-3.77
821.54,-6.06,(-0.73%),-10.34,-3.77
821.34,-6.26,(-0.76%),-10.34,-3.77
821.42,-6.18,(-0.75%),-10.34,-3.77
822.18,-5.42,(-0.65%),-10.34,-3.77
822.90,-4.70,(-0.57%),-10.34,-3.77
822.42,-5.18,(-0.63%),-10.34,-3.77
822.65,-4.95,(-0.60%),-10.34,-3.77
822.70,-4.90,(-0.59%),-10.34,-3.77
822.66,-4.94,(-0.60%),-10.34,-3.77
822.74,-4.86,(-0.59%),-10.34,-3.77
822.79,-4.81,(-0.58%),-10.34,-3.77
823.15,-4.45,(-0.54%),-10.34,-3.77
822.89,-4.71,(-0.57%),-10.34,-3.77
823.51,-4.09,(-0.49%),-10.34,-3.77
823.33,-4.27,(-0.52%),-10.34,-3.77
823.66,-3.94,(-0.48%),-10.34,-3.77
823.91,-3.69,(-0.45%),-10.34,-3.69
823.73,-3.87,(-0.47%),-10.34,-3.69
823.50,-4.10,(-0.50%),-10.34,-3.69
823.70,-3.90,(-0.47%),-10.34,-3.69
823.87,-3.73,(-0.45%),-10.34,-3.69
824.49,-3.11,(-0.38%),-10.34,-3.11
824.06,-3.54,(-0.43%),-10.34,-3.11
824.64,-2.96,(-0.36%),-10.34,-2.96
824.44,-3.16,(-0.38%),-10.34,-2.96
824.81,-2.79,(-0.34%),-10.34,-2.79
824.92,-2.68,(-0.32%),-10.34,-2.68
824.97,-2.63,(-0.32%),-10.34,-2.63
824.67,-2.93,(-0.35%),-10.34,-2.63
824.97,-2.63,(-0.32%),-10.34,-2.63
825.37,-2.23,(-0.27%),-10.34,-2.23
824.70,-2.90,(-0.35%),-10.34,-2.23
824.88,-2.72,(-0.33%),-10.34,-2.23
824.58,-3.02,(-0.36%),-10.34,-2.23
825.44,-2.16,(-0.26%),-10.34,-2.16
824.80,-2.80,(-0.34%),-10.34,-2.16
825.31,-2.29,(-0.28%),-10.34,-2.16
825.35,-2.25,(-0.27%),-10.34,-2.16
825.27,-2.33,(-0.28%),-10.34,-2.16
825.08,-2.52,(-0.30%),-10.34,-2.16
824.81,-2.79,(-0.34%),-10.34,-2.16
825.29,-2.31,(-0.28%),-10.34,-2.16
825.67,-1.93,(-0.23%),-10.34,-1.93
826.19,-1.41,(-0.17%),-10.34,-1.41
826.34,-1.26,(-0.15%),-10.34,-1.26
826.10,-1.50,(-0.18%),-10.34,-1.26
826.80,-0.80,(-0.10%),-10.34,-0.8
826.56,-1.04,(-0.13%),-10.34,-0.8
826.56,-1.04,(-0.13%),-10.34,-0.8
826.77,-0.83,(-0.10%),-10.34,-0.8
827.06,-0.54,(-0.07%),-10.34,-0.54
826.71,-0.89,(-0.11%),-10.34,-0.54
826.71,-0.89,(-0.11%),-10.34,-0.54
826.06,-1.54,(-0.19%),-10.34,-0.54
826.27,-1.33,(-0.16%),-10.34,-0.54
826.54,-1.06,(-0.13%),-10.34,-0.54
826.84,-0.76,(-0.09%),-10.34,-0.54
826.51,-1.09,(-0.13%),-10.34,-0.54
826.41,-1.19,(-0.14%),-10.34,-0.54
826.14,-1.46,(-0.18%),-10.34,-0.54
825.85,-1.75,(-0.21%),-10.34,-0.54
825.42,-2.18,(-0.26%),-10.34,-0.54
824.77,-2.83,(-0.34%),-10.34,-0.54
824.85,-2.75,(-0.33%),-10.34,-0.54
824.87,-2.73,(-0.33%),-10.34,-0.54
825.28,-2.32,(-0.28%),-10.34,-0.54
825.53,-2.07,(-0.25%),-10.34,-0.54
825.97,-1.63,(-0.20%),-10.34,-0.54
825.89,-1.71,(-0.21%),-10.34,-0.54
826.00,-1.60,(-0.19%),-10.34,-0.54
826.26,-1.34,(-0.16%),-10.34,-0.54
825.98,-1.62,(-0.20%),-10.34,-0.54
826.20,-1.40,(-0.17%),-10.34,-0.54
826.20,-1.40,(-0.17%),-10.34,-0.54
825.97,-1.63,(-0.20%),-10.34,-0.54
826.33,-1.27,(-0.15%),-10.34,-0.54
826.36,-1.24,(-0.15%),-10.34,-0.54
826.60,-1.00,(-0.12%),-10.34,-0.54
826.85,-0.75,(-0.09%),-10.34,-0.54
827.83,0.23,(0.03%),-10.34,0.23
827.84,0.24,(0.03%),-10.34,0.24
827.74,0.14,(0.02%),-10.34,0.24
827.74,0.14,(0.02%),-10.34,0.24
827.97,0.37,(0.04%),-10.34,0.37
828.26,0.66,(0.08%),-10.34,0.66
828.28,0.68,(0.08%),-10.34,0.68
828.68,1.08,(0.13%),-10.34,1.08
828.86,1.26,(0.15%),-10.34,1.26
829.31,1.71,(0.21%),-10.34,1.71
829.45,1.85,(0.22%),-10.34,1.85
829.76,2.16,(0.26%),-10.34,2.16
829.97,2.37,(0.29%),-10.34,2.37
830.39,2.79,(0.34%),-10.34,2.79
829.46,1.86,(0.22%),-10.34,2.79
826.21,-1.39,(-0.17%),-10.34,2.79
827.12,-0.48,(-0.06%),-10.34,2.79
827.44,-0.16,(-0.02%),-10.34,2.79
826.51,-1.09,(-0.13%),-10.34,2.79
827.27,-0.33,(-0.04%),-10.34,2.79
827.82,0.22,(0.03%),-10.34,2.79
827.98,0.38,(0.05%),-10.34,2.79
827.98,0.38,(0.05%),-10.34,2.79
828.26,0.66,(0.08%),-10.34,2.79
828.38,0.78,(0.09%),-10.34,2.79
828.05,0.45,(0.05%),-10.34,2.79
828.27,0.67,(0.08%),-10.34,2.79
828.41,0.81,(0.10%),-10.34,2.79
829.43,1.83,(0.22%),-10.34,2.79
828.95,1.35,(0.16%),-10.34,2.79
828.07,0.47,(0.06%),-10.34,2.79
828.26,0.66,(0.08%),-10.34,2.79
828.38,0.78,(0.09%),-10.34,2.79
826.34,-1.26,(-0.15%),-10.34,2.79
827.35,-0.25,(-0.03%),-10.34,2.79
826.77,-0.83,(-0.10%),-10.34,2.79
826.30,-1.30,(-0.16%),-10.34,2.79
825.28,-2.32,(-0.28%),-10.34,2.79
825.28,-2.32,(-0.28%),-10.34,2.79
824.26,-3.34,(-0.40%),-10.34,2.79
825.26,-2.34,(-0.28%),-10.34,2.79
826.07,-1.53,(-0.18%),-10.34,2.79
826.45,-1.15,(-0.14%),-10.34,2.79
826.51,-1.09,(-0.13%),-10.34,2.79
825.42,-2.18,(-0.26%),-10.34,2.79
825.77,-1.83,(-0.22%),-10.34,2.79
825.26,-2.34,(-0.28%),-10.34,2.79
825.26,-2.34,(-0.28%),-10.34,2.79
823.32,-4.28,(-0.52%),-10.34,2.79
824.56,-3.04,(-0.37%),-10.34,2.79
825.24,-2.36,(-0.29%),-10.34,2.79
824.85,-2.75,(-0.33%),-10.34,2.79
824.56,-3.04,(-0.37%),-10.34,2.79
824.86,-2.74,(-0.33%),-10.34,2.79
824.87,-2.73,(-0.33%),-10.34,2.79
825.04,-2.56,(-0.31%),-10.34,2.79
824.21,-3.39,(-0.41%),-10.34,2.79
823.99,-3.61,(-0.44%),-10.34,2.79
824.67,-2.93,(-0.35%),-10.34,2.79
824.06,-3.54,(-0.43%),-10.34,2.79
823.56,-4.04,(-0.49%),-10.34,2.79
823.26,-4.34,(-0.52%),-10.34,2.79
823.50,-4.10,(-0.50%),-10.34,2.79
824.42,-3.18,(-0.38%),-10.34,2.79
824.06,-3.54,(-0.43%),-10.34,2.79
824.06,-3.54,(-0.43%),-10.34,2.79
824.31,-3.29,(-0.40%),-10.34,2.79
824.58,-3.02,(-0.36%),-10.34,2.79
825.38,-2.22,(-0.27%),-10.34,2.79
825.26,-2.34,(-0.28%),-10.34,2.79
825.33,-2.27,(-0.27%),-10.34,2.79
825.34,-2.26,(-0.27%),-10.34,2.79
825.41,-2.19,(-0.26%),-10.34,2.79
824.64,-2.96,(-0.36%),-10.34,2.79
824.86,-2.74,(-0.33%),-10.34,2.79
824.96,-2.64,(-0.32%),-10.34,2.79
824.94,-2.66,(-0.32%),-10.34,2.79
825.06,-2.54,(-0.31%),-10.34,2.79
825.35,-2.25,(-0.27%),-10.34,2.79
825.54,-2.06,(-0.25%),-10.34,2.79
825.66,-1.94,(-0.23%),-10.34,2.79
825.81,-1.79,(-0.22%),-10.34,2.79
825.95,-1.65,(-0.20%),-10.34,2.79
826.05,-1.55,(-0.19%),-10.34,2.79
825.54,-2.06,(-0.25%),-10.34,2.79
824.79,-2.81,(-0.34%),-10.34,2.79
824.78,-2.82,(-0.34%),-10.34,2.79
824.79,-2.81,(-0.34%),-10.34,2.79
823.27,-4.33,(-0.52%),-10.34,2.79
824.10,-3.50,(-0.42%),-10.34,2.79
823.74,-3.86,(-0.47%),-10.34,2.79
824.44,-3.16,(-0.38%),-10.34,2.79
824.19,-3.41,(-0.41%),-10.34,2.79
824.40,-3.20,(-0.39%),-10.34,2.79
823.27,-4.33,(-0.52%),-10.34,2.79
823.27,-4.33,(-0.52%),-10.34,2.79
823.51,-4.09,(-0.49%),-10.34,2.79
823.53,-4.07,(-0.49%),-10.34,2.79
823.27,-4.33,(-0.52%),-10.34,2.79
823.27,-4.33,(-0.52%),-10.34,2.79
823.27,-4.33,(-0.52%),-10.34,2.79
822.27,-5.33,(-0.64%),-10.34,2.79
822.14,-5.46,(-0.66%),-10.34,2.79
822.08,-5.52,(-0.67%),-10.34,2.79
821.26,-6.34,(-0.77%),-10.34,2.79
821.30,-6.30,(-0.76%),-10.34,2.79
821.20,-6.40,(-0.77%),-10.34,2.79
821.60,-6.00,(-0.72%),-10.34,2.79
821.82,-5.78,(-0.70%),-10.34,2.79
822.02,-5.58,(-0.67%),-10.34,2.79
822.04,-5.56,(-0.67%),-10.34,2.79
822.44,-5.16,(-0.62%),-10.34,2.79
821.92,-5.68,(-0.69%),-10.34,2.79
821.81,-5.79,(-0.70%),-10.34,2.79
821.89,-5.71,(-0.69%),-10.34,2.79
821.95,-5.65,(-0.68%),-10.34,2.79
821.92,-5.68,(-0.69%),-10.34,2.79
821.57,-6.03,(-0.73%),-10.34,2.79
821.57,-6.03,(-0.73%),-10.34,2.79
821.96,-5.64,(-0.68%),-10.34,2.79
822.74,-4.86,(-0.59%),-10.34,2.79
822.31,-5.29,(-0.64%),-10.34,2.79
822.54,-5.06,(-0.61%),-10.34,2.79
822.36,-5.24,(-0.63%),-10.34,2.79
822.52,-5.08,(-0.61%),-10.34,2.79
822.53,-5.07,(-0.61%),-10.34,2.79
822.26,-5.34,(-0.65%),-10.34,2.79
821.79,-5.81,(-0.70%),-10.34,2.79
821.37,-6.23,(-0.75%),-10.34,2.79
820.91,-6.69,(-0.81%),-10.34,2.79
820.63,-6.97,(-0.84%),-10.34,2.79
820.05,-7.55,(-0.91%),-10.34,2.79
819.70,-7.90,(-0.95%),-10.34,2.79
819.80,-7.80,(-0.94%),-10.34,2.79
819.84,-7.76,(-0.94%),-10.34,2.79
819.53,-8.07,(-0.98%),-10.34,2.79
819.53,-8.07,(-0.98%),-10.34,2.79
820.03,-7.57,(-0.91%),-10.34,2.79
820.07,-7.53,(-0.91%),-10.34,2.79
820.74,-6.86,(-0.83%),-10.34,2.79
820.68,-6.92,(-0.84%),-10.34,2.79
820.78,-6.82,(-0.82%),-10.34,2.79
820.84,-6.76,(-0.82%),-10.34,2.79
820.85,-6.75,(-0.82%),-10.34,2.79
820.83,-6.77,(-0.82%),-10.34,2.79
821.05,-6.55,(-0.79%),-10.34,2.79
820.83,-6.77,(-0.82%),-10.34,2.79
820.69,-6.91,(-0.83%),-10.34,2.79
820.72,-6.88,(-0.83%),-10.34,2.79
820.72,-6.88,(-0.83%),-10.34,2.79
821.27,-6.33,(-0.76%),-10.34,2.79
820.48,-7.12,(-0.86%),-10.34,2.79
821.26,-6.34,(-0.77%),-10.34,2.79
820.82,-6.78,(-0.82%),-10.34,2.79
820.88,-6.72,(-0.81%),-10.34,2.79
820.96,-6.64,(-0.80%),-10.34,2.79
820.94,-6.66,(-0.80%),-10.34,2.79
821.00,-6.60,(-0.80%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
820.26,-7.34,(-0.89%),-10.34,2.79
819.71,-7.89,(-0.95%),-10.34,2.79
820.28,-7.32,(-0.88%),-10.34,2.79
820.92,-6.68,(-0.81%),-10.34,2.79
820.49,-7.11,(-0.86%),-10.34,2.79
819.61,-7.99,(-0.97%),-10.34,2.79
819.52,-8.08,(-0.98%),-10.34,2.79
819.62,-7.98,(-0.96%),-10.34,2.79
819.52,-8.08,(-0.98%),-10.34,2.79
819.83,-7.77,(-0.94%),-10.34,2.79
820.11,-7.49,(-0.91%),-10.34,2.79
820.69,-6.91,(-0.83%),-10.34,2.79
820.68,-6.92,(-0.84%),-10.34,2.79
821.01,-6.59,(-0.80%),-10.34,2.79
820.71,-6.89,(-0.83%),-10.34,2.79
821.28,-6.32,(-0.76%),-10.34,2.79
821.28,-6.32,(-0.76%),-10.34,2.79
820.85,-6.75,(-0.82%),-10.34,2.79
820.85,-6.75,(-0.82%),-10.34,2.79
820.75,-6.85,(-0.83%),-10.34,2.79
821.26,-6.34,(-0.77%),-10.34,2.79
821.47,-6.13,(-0.74%),-10.34,2.79
821.54,-6.06,(-0.73%),-10.34,2.79
